title,body,labels
"Authorize invites server-side (host-only + session validation)","Lead: Security
Problem: Any signed-in user can create invites for any session because rules only check fromUid and status.
Impact: Spoofed invites, spam, and disclosure of session codes and metadata.
Evidence:
- firestore.rules:235
- src/stores/inviteStore.ts:127
Acceptance criteria:
- Enforce that fromUid is the host or a member with invite permissions for sessionId.
- Validate sessionCode and sessionExpiresAt against the session document.
- Add rules tests for allow and deny cases.","priority:P1,area:security"
"Make session creation plus join code reservation atomic","Lead: Reliability
Problem: Code reservation and session creation are separate writes with no transaction.
Impact: Collisions or failures can leave orphan sessions or unusable codes under concurrency.
Evidence:
- src/services/sessions.ts:168
- src/services/sessions.ts:203
- src/services/sessions.ts:232
Acceptance criteria:
- Reserve the code and create the session in a single transaction or Cloud Function.
- Roll back the session doc if code reservation fails.
- Add retry with backoff for code collisions.","priority:P1,area:reliability"
"Use crypto-grade RNG for join codes","Lead: Security
Problem: Join codes are generated with Math.random, which is predictable.
Impact: Increased risk of code guessing and session hijack.
Evidence:
- src/services/sessions.ts:123
Acceptance criteria:
- Use crypto.getRandomValues to generate codes.
- Add tests for code format and length.","priority:P1,area:security"
"Add join code rotation and refresh workflow","Lead: Product
Problem: UI says code rotates but there is no way to refresh join codes after expiry.
Impact: Hosts cannot add new players after 1 hour.
Evidence:
- src/views/SessionView.vue:295
- src/services/sessions.ts:21
Acceptance criteria:
- Add a host action to regenerate join codes.
- Update session and sessionCodes atomically and show the new expiry.
- Invalidate the prior code.","priority:P1,area:product"
"Allow invite-based joins after code expiry","Lead: Product
Problem: Join rules require an unexpired join code and invites become unusable after 1 hour.
Impact: Invited players cannot join active sessions.
Evidence:
- firestore.rules:158
- src/stores/inviteStore.ts:235
Acceptance criteria:
- Allow join when a pending invite exists for the user and session is active.
- Define an invite TTL separate from join code TTL.
- Update UI copy to reflect invite validity.","priority:P2,area:product"
"Ensure guest auth completion before using uid or memberId","Lead: Reliability
Problem: ensureGuestAuth resolves before currentUser is set, but session flows read memberId and uid from currentUser.
Impact: Intermittent failures creating or joining sessions on cold start.
Evidence:
- src/stores/authStore.ts:234
- src/stores/sessionStore.ts:116
- src/stores/sessionStore.ts:160
Acceptance criteria:
- Ensure ensureGuestAuth resolves only after currentUser is populated.
- Or pass the returned credential user into session flows.
- Add a regression test for create and join immediately after fresh load.","priority:P2,area:reliability"
"Allow friendship re-request after decline or cancel","Lead: Product
Problem: Once a friendship is declined or cancelled, rules block creating a new request for the same pair.
Impact: Users cannot retry friend requests.
Evidence:
- firestore.rules:209
- src/stores/friendStore.ts:141
Acceptance criteria:
- Allow reopening a friendship (update to pending) or allow delete and recreate.
- Update UI messaging to match the allowed flow.","priority:P2,area:product"
"Enforce unique invite codes","Lead: Data
Problem: Invite codes are random with no uniqueness check.
Impact: Collisions can route invites to the wrong user.
Evidence:
- src/services/users.ts:31
- src/services/invites.ts:160
Acceptance criteria:
- Enforce uniqueness via transaction or Cloud Function.
- Retry on collision and log collision rate.","priority:P2,area:data"
"Add TTL and cleanup for sessionCodes, invites, friendships, saved sessions","Lead: Ops
Problem: Only sessions have TTL documented and other collections are never cleaned up.
Impact: Data bloat, cost growth, and join code exhaustion.
Evidence:
- README.md:26
- firestore.rules:116
Acceptance criteria:
- Add TTL fields for sessionCodes, invites, friendships, and users/{uid}/sessions.
- Document retention windows and cleanup behavior.","priority:P2,area:ops"
"Use server time for expiry timestamps","Lead: Reliability
Problem: Expiry timestamps are computed with Date.now on the client.
Impact: Sessions may expire early or late due to clock skew.
Evidence:
- src/services/sessions.ts:195
Acceptance criteria:
- Compute expiry on server or use serverTimestamp plus TTL offset.
- Add guardrails for skewed client clocks.","priority:P2,area:reliability"
